Title,PDF Keyword,PDFLink
Report - Ontario Film and Televsion 2020,(Ontario Film and Television Production 2018 - 2020),https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario_Creates_Prod_Stats_Combo_Sheet_2021-04-14.pdf
Report - Ontario Film and Televsion 2019,(Microsoft Word - Ontario Creates 2019 Prod Stats Combo Sheet_2020-02-27),https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Creates-2019-Prod-Stats-Combo-Sheet_2020-02-27_En.pdf
Report - Ontario Film and Televsion 2018,Report - Ontario Film and Televsion 2018,https://ontariocreates.ca/assets/images/research/Statistics/Eng/OntarioCreates_ProdStats2018_ComboSheet_2019-04-04.pdf
Report - Ontario Film and Televsion 2017,(Production Stats 2017),https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2015-2017.pdf
Report - Ontario Film and Televsion 2016,Report - Ontario Film and Televsion 2016,https://ontariocreates.ca/assets/images/research/Statistics/Eng/2016-Production-Stats.pdf
Report - Ontario Film and Televsion 2015,Report - Ontario Film and Televsion 2015,https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2012-2015-pdf_en.pdf
Report - Ontario Film and Televsion 2014,Report - Ontario Film and Televsion 2014,https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2012-2014-pdf_en.pdf
Report - Ontario Film and Televsion 2013,Report - Ontario Film and Televsion 2013,https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2011-2013-pdf_en.pdf
Report - Ontario Film and Televsion 2012,Report - Ontario Film and Televsion 2012,https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2010-2012-pdf_en.pdf
Report - Ontario Film and Televsion 2011,(For Immediate Release),https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2009-2011_en.pdf
Report - Ontario Film and Televsion 2010,(For Immediate Release),https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2008-2010_en.pdf
Report - Ontario Film and Televsion 2009,(For Immediate Release),https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2007-2009_en.pdf
Report - Ontario Film and Televsion 2008,(Microsoft Word - Final Stats Table with Notes for Distribution.doc),https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2006-2008_en.pdf
Report - Ontario Film and Televsion 2007,(),https://ontariocreates.ca/uploads/Ontario-Film-and-Television-Production-2005-2007_en.pdf
Report - Ontario Film and Televsion 2006,(PressReleaseTable2006.xls),https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Film-and-Television-Production-2004-2006_en.pdf
Report - Ontario Film and Televsion 20-Y,(Film and Television Production in Ontario ),https://ontariocreates.ca/assets/images/research/Statistics/Eng/Ontario-Creates_FilmTelevision20Year_2020_ENG-FINAL.pdf
