Title,Type,Production House,Description
The Lake,TV Series,ProductionCompanyAmazeTVTelevisionInc.,Producer(s) : VictoriaHirstDirectorPaulFoxLineProducerSherryKingProductionManager(PM) : ChristineSolaProductionCoordinatorJohnPetti
La petite mairesse,TV Series,WFHProtocolsinEffect,Producer(s) : TracyLegaultDirectorMarie-PascaleLaurencelle NathalieTorielLineProducerDennisLandryProductionManager(PM) : TaraLevesqueProductionCoordinatorAndreaNovoaDirectorofPhotography(DOP) : PiotrSkowronski
Halo to Christmas,TV Movie,HideawayPicturesInc.,ProducerDavidAnselmoDirectorJerryCiccorrittiProductionManager(PM) : ByronA.MartinProductionCoordinatorKeithaM.RedmondDirectorofPhotography(DOP) : JonathanYapp
"The Russian Ghost Train: Episode #8 ""Reporting""",Short Film,LakesideAnimation,Producer(s) : CourtneyWolfsonExecutiveProducer(s) : IouriStepanovDirectorMattLyon&AljoshaKlimovProductionCoordinatorSonyaStepanova
Jingle Bell Princess,TV Movie,HPALotofChristmasProductionsInc.,ProducerDavidAnselmoDirectorDanMcBreartyLineProducerJamesMouProductionManager(PM) : JamesMouProductionCoordinatorKeithaM.RedmondDirectorofPhotography(DOP) : JohnathanYapp
Junction Row,Feature,Hangar18Media,ProducerPashaPatrikiDirectorAshleaWessel
The Devil’s Breath,Feature,NA,NA
Lake Red,Feature,NA,NA
The Night Knows,Feature,TNKProductionsInc.,NA
Cascade,Feature,EdgeEntertainment,Producer(s) : Rosalia(Rosalie) : ChilelliJenniferPunExecutiveProducer(s) : AndersJohanPalmDirectorEgidioCoccimiglioLineProducerSusanMcGrathProductionManager(PM) : SusanMcGrathProductionCoordinatorLaurenRamsayDirectorofPhotography(DOP) : DiegoGuijarro
The Great Christmas Switch,TV Movie,HPColdProductionsInc.,ExecutiveProducerDavidAnselmoDirectorErnieBarbarashProductionManager(PM) : ByronA.MartinProductionCoordinatorKeithaM.Redmond
Do Not Disturb,Feature,DoNotDisturbONLtd.,ProducerRechnaVarmaDirectorJohnAinslieLineProducerRebekaHerronProductionManager(PM) : TrishRainoneDirectorofPhotography(DOP) : ScottMcIntyre
Organ Bros Pilot,TV Series,TurnspitProductions,Producer(s) : BenSainsburyDirectorAnthonyBaird
Holiday Train,Feature,HPTracksProductionsInc.,Producer(s) : DAVIDANSELMODirectorBRADLEYWALSHLineProducerJAMESMOUProductionManager(PM) : JAMESMOUProductionCoordinatorSEANAO'NEILLDirectorofPhotography(DOP) : RUSSGOOZEE
